"customer_state","customer_city","total_orders","total_revenue"
"MG","itabira","77","12126.890000000003"
"SP","varzea paulista","75","12093.680000000002"
"SP","votorantim","84","12085.64"
"MG","araguari","54","12048.94"
"RS","santa cruz do sul","62","11974.650000000003"
"ES","guarapari","66","11951.819999999994"
"SP","franco da rocha","108","11830.230000000005"
"SP","ribeirao pires","107","11780.650000000003"
"GO","rio verde","63","11778.149999999998"
"PR","toledo","70","11688.659999999996"
"BA","porto seguro","39","11671.600000000002"
"SC","gaspar","29","11602.95"
"SP","salto","89","11601.09"
"SP","cacapava","72","11473.430000000004"
"SP","cajamar","97","11413.589999999997"
"SP","itanhaem","74","11370.650000000001"
"GO","jatai","54","11337.929999999997"
"MG","caratinga","62","11211.449999999997"
"RS","cachoeirinha","72","10975.34"
"RJ","mesquita","75","10927.32"
"SP","catanduva","72","10922.029999999999"
"BA","lauro de freitas","72","10893.499999999995"
"SP","jau","73","10847.519999999995"
"SP","poa","85","10803.79"
"MG","conselheiro lafaiete","82","10750.729999999998"
"SP","sao roque","75","10721.189999999997"
"PR","pato branco","53","10599.58"
"BA","ilheus","69","10500.100000000006"
"SP","bertioga","47","10451.080000000004"
"SP","vinhedo","90","10382.010000000002"
"SP","lins","54","10363.810000000001"
"SP","mairipora","75","10363.159999999996"
"SP","barretos","69","10351.450000000004"
"RS","bage","62","10286.980000000003"
"MG","paracatu","62","10113.100000000002"
"PR","pinhais","66","10103.74"
"MG","manhuacu","64","10066.620000000003"
"SP","mogi mirim","75","9974.890000000005"
"PR","guarapuava","62","9900.21"
"SP","pirassununga","69","9868.550000000003"
"SP","itapecerica da serra","93","9846.11"
"SP","votuporanga","63","9760.03"
"MG","sao joao del rei","66","9744.43"
"SC","brusque","60","9731.210000000001"
"SP","avare","63","9713.470000000001"
"SP","francisco morato","94","9688.800000000003"
"MG","lagoa santa","58","9681.01"
"SP","jandira","84","9658.31"
"SP","jaguariuna","60","9595.579999999998"
"MG","teofilo otoni","75","9586.61"
"BA","luis eduardo magalhaes","36","9538.69"
"SP","ubatuba","72","9536.950000000004"
"BA","itabuna","60","9474.989999999996"
"RS","lajeado","50","9440.38"
"SC","videira","44","9246.029999999997"
"SP","leme","50","9157.010000000002"
"SP","lorena","82","9137.710000000003"
"PR","colombo","60","9014.880000000001"
"MG","itauna","56","9012.789999999999"
"MG","timoteo","52","8938.86"
"SP","sao sebastiao","56","8813.790000000003"
"PR","paranagua","58","8781.35"
"BA","camacari","60","8722.58"
"SP","aruja","68","8699.660000000002"
"MG","nova serrana","49","8693.689999999999"
"BA","juazeiro","42","8662.05"
"PR","campo mourao","56","8579.690000000002"
"ES","colatina","63","8456.830000000002"
"PR","francisco beltrao","50","8378.129999999997"
"SP","fernandopolis","52","8366.449999999997"
"SP","matao","51","8360.85"
"MG","ibirite","47","8317.090000000002"
"PR","paranavai","45","8254.930000000002"
"MG","joao monlevade","50","8232.520000000002"
"SP","cubatao","79","8171.42"
"MG","ouro preto","55","8149.910000000002"
"RS","bento goncalves","53","8146.779999999999"
"PR","apucarana","51","8112.800000000003"
"MG","unai","54","8064.509999999998"
"MG","patrocinio","45","8023.55"
"RJ","tres rios","38","8014.460000000001"
"MG","para de minas","37","7994.590000000002"
"RS","viamao","70","7987.710000000001"
"SP","itapira","52","7984.619999999999"
"SP","boituva","47","7974.500000000002"
"MG","pirapora","42","7842.1600000000035"
"BA","paulo afonso","39","7842.140000000002"
"SP","sertaozinho","61","7829.730000000001"
"MG","ponte nova","39","7823.6900000000005"
"RJ","itaborai","56","7783.170000000002"
"MG","uba","53","7733.989999999997"
"BA","eunapolis","36","7715.63"
"SP","peruibe","43","7697.9699999999975"
"BA","jacobina","23","7693.92"
"ES","sao mateus","47","7691.799999999997"
"RS","erechim","56","7689.060000000001"
"SP","cosmopolis","50","7645.27"
"SP","lencois paulista","43","7565.480000000001"
"RJ","paracambi","35","7516.2300000000005"
"SC","navegantes","31","7500.849999999999"
"SP","tupa","52","7490.939999999999"
"SP","cruzeiro","56","7458.769999999999"
"BA","alagoinhas","40","7428.329999999998"
"BA","valenca","35","7406.42"
"RS","alvorada","50","7368.620000000002"
"SP","itapeva","52","7300.209999999998"
"SC","itapema","44","7233.420000000002"
"RS","osorio","35","7225.750000000001"
"RJ","itaguai","46","7202.3200000000015"
"SC","sao miguel do oeste","39","7165.309999999999"
"PR","arapongas","32","7152.490000000001"
"SP","andradina","40","7089.019999999999"
"SP","embu-guacu","46","7062.82"
"RJ","queimados","53","7048.549999999999"
"RS","esteio","39","6986.450000000003"
"MG","guaxupe","37","6967.000000000003"
"MG","vespasiano","41","6904.0700000000015"
"RS","ijui","52","6870.149999999999"
"SP","registro","45","6809.210000000001"
"SP","jaboticabal","50","6776.969999999998"
"SP","mococa","33","6758.870000000002"
"SC","concordia","47","6730.960000000001"
"SP","artur nogueira","40","6723.880000000001"
"RJ","itaperuna","46","6658.02"
"PR","umuarama","40","6603.01"
"MG","ituiutaba","53","6593.01"
"MG","alfenas","43","6539.450000000001"
"GO","itumbiara","35","6489.07"
"RS","santo angelo","45","6448.63"
"GO","valparaiso de goias","37","6424.509999999999"
"MG","curvelo","42","6406.879999999999"
"RS","sapucaia do sul","39","6392.700000000001"
"SP","mirassol","29","6383.329999999998"
"SP","olimpia","36","6365.150000000001"
"RJ","arraial do cabo","28","6329.660000000001"
"GO","catalao","33","6317.650000000001"
"PR","araucaria","54","6255.869999999999"
"GO","caldas novas","36","6204.57"
"SP","bebedouro","51","6141.75"
"RS","guaiba","31","6139.130000000002"
"SP","batatais","27","6130.550000000001"
"GO","formosa","34","6124.12"
"SP","adamantina","35","6108.500000000001"
"SC","sao bento do sul","44","6105.449999999999"
"SP","itupeva","42","6039.66"
"PR","uniao da vitoria","29","6037.75"
"SP","mongagua","41","6027.55"
"RJ","barra do pirai","49","6015.990000000002"
"MG","arcos","25","5989.3600000000015"
"SP","sao jose do rio pardo","44","5971.049999999999"
"MG","pedro leopoldo","40","5875.050000000001"
"PR","mandaguari","18","5829.06"
"MG","itabirito","28","5798.05"
"BA","jequie","34","5766.87"
"RJ","santo antonio de padua","30","5765.599999999999"
"RJ","sao pedro da aldeia","46","5712.969999999999"
"PR","rolandia","24","5701.330000000002"
"SC","rio do sul","35","5695.140000000001"
"PR","cianorte","39","5691.55"
"MG","salinas","22","5691.16"
"RJ","japeri","34","5682.830000000001"
"RS","montenegro","32","5643.509999999999"
"RS","capao da canoa","38","5634.339999999999"
"SP","louveira","44","5615.729999999998"
"RJ","saquarema","45","5614.720000000001"
"GO","luziania","33","5608.51"
"RS","santo antonio da patrulha","17","5603.12"
"SP","campo limpo paulista","47","5581.77"
"RJ","armacao dos buzios","28","5579.360000000001"
"MG","bom despacho","38","5554.600000000001"
"SP","penapolis","37","5549.280000000001"
"MG","sao sebastiao do paraiso","35","5509.709999999999"
"MG","tres coracoes","41","5476.220000000001"
"SC","cacador","40","5469.620000000002"
"SP","tremembe","38","5462.700000000001"
"RS","uruguaiana","47","5460.4000000000015"
"PR","telemaco borba","34","5458.209999999999"
"SP","santo antonio de posse","20","5393.22"
"SP","vargem grande paulista","43","5368.1500000000015"
"BA","guanambi","36","5367.469999999998"
"MG","sabara","42","5334.3600000000015"
"RJ","vassouras","36","5309.87"
"RS","alegrete","35","5296.240000000001"
"MG","santa barbara","25","5295.3099999999995"
"SC","canoinhas","27","5291.0199999999995"
"MG","ouro branco","41","5283.79"
"RS","cachoeira do sul","30","5281.79"
"RJ","seropedica","33","5256.349999999999"
"SP","capivari","32","5252.8099999999995"
"SP","taquaritinga","33","5237.07"
"SC","joacaba","26","5233.090000000002"
"MG","extrema","39","5224.880000000001"
"BA","simoes filho","21","5223.07"
"MG","mariana","33","5218.88"
"PR","fazenda rio grande","29","5204.960000000001"
"MG","passos","43","5196.439999999998"
"SP","dracena","27","5186.38"
"MG","cataguases","32","5139.96"
"RS","campo bom","35","5137.09"
"ES","aracruz","40","5102.9800000000005"
"SP","nova odessa","37","5060.27"
"BA","santo antonio de jesus","29","5060.15"
"SP","piraju","17","5054.759999999999"
"PR","almirante tamandare","35","5041.83"
"SP","monte mor","38","5039"
"MG","formiga","32","5033.339999999999"
"MG","sao lourenco","32","4958.96"
"RS","taquara","21","4954.91"
"RJ","rio bonito","27","4946.289999999998"
"MG","bom jesus do galho","4","4923.81"
"MG","coronel fabriciano","40","4914.660000000001"
"RS","santana do livramento","20","4911.299999999999"
"SC","xanxere","29","4906.490000000002"
"MG","carangola","25","4843.370000000001"
"SP","sao joaquim da barra","33","4808.58"
"SP","tiete","35","4792.7300000000005"
"SC","taio","14","4792.660000000001"
"SP","promissao","31","4742.35"
"MG","santa rita do sapucai","35","4687.13"
"PR","campo largo","36","4665.790000000002"
"MG","carmo do paranaiba","16","4652.950000000001"
"RJ","valenca","27","4610.210000000001"
"SP","santa fe do sul","34","4605.21"
"MG","andradas","12","4595.969999999999"
"PR","cambe","27","4559.06"
"SP","orlandia","28","4552.400000000001"
"MG","santa vitoria","17","4546.180000000001"
"SP","itarare","28","4520.990000000001"
"SC","timbo","20","4468.12"
"SP","pereira barreto","18","4460.09"
"MG","piumhii","28","4454.110000000001"
"SP","barra bonita","28","4440.919999999999"
"SP","guaira","36","4423.030000000001"
"RJ","miguel pereira","28","4409.54"
"SP","monte alegre do sul","6","4360.38"
"PR","castro","22","4347.650000000001"
"SP","ituverava","28","4325.590000000001"
"ES","guacui","16","4311.75"
"GO","mineiros","25","4233.22"
"SP","alvares machado","8","4227.42"
"SP","aparecida","25","4208.91"
"PR","marechal candido rondon","30","4144.6900000000005"
"SC","tijucas","30","4144.169999999999"
"BA","teixeira de freitas","28","4143.1"
"BA","cicero dantas","9","4097.2"
"SP","martinopolis","8","4084.11"
"RS","panambi","17","4059.1500000000005"
"SP","cerqueira cesar","18","4059.120000000001"
"BA","campo formoso","10","4054.34"
"SC","indaial","26","4052.060000000001"
"MG","januaria","22","4050.95"
"SP","itapolis","28","4026.78"
"RS","sapiranga","23","4014.9500000000003"
"RJ","bom jesus do itabapoana","20","4011.2699999999995"
"SP","ibiuna","31","4009.9300000000003"
"RS","sao luiz gonzaga","15","4008.72"
"GO","trindade","24","4007.4100000000003"
"SP","ilhabela","44","3989.880000000001"
"RS","guapore","18","3987.060000000001"
"RJ","casimiro de abreu","20","3963.3099999999995"
"GO","posse","15","3940.710000000001"
"ES","viana","21","3937.27"
"GO","pires do rio","12","3930.0300000000007"
"MG","frutal","24","3923.15"
"MG","ipanema","7","3916.2700000000004"
"SP","campos do jordao","25","3913.12"
"SP","sao pedro","12","3903.330000000001"
"SP","cerquilho","30","3861.7099999999996"
"RS","dois irmaos","17","3847.4199999999996"
"SP","cachoeira paulista","25","3768.0099999999993"
"SP","aguas de lindoia","22","3758.3600000000006"
"RS","farroupilha","27","3757.49"
"MG","espera feliz","19","3751.4200000000005"
"RS","gramado","29","3750.7100000000005"
"SC","biguacu","22","3738.8900000000003"
"SC","camboriu","27","3711.4199999999996"
"RS","ibiruba","20","3695.7299999999996"
"MG","cambui","22","3660.8099999999995"
"MG","janauba","16","3646.2200000000003"
"SP","capao bonito","28","3622.1600000000003"
"MG","congonhas","30","3618.83"
"BA","valente","9","3614.1000000000004"
"RS","santa rosa","32","3601.1100000000006"
"SC","imbituba","31","3593.92"
"SC","ituporanga","15","3580.2499999999995"
"RS","estancia velha","20","3563.850000000001"
"MG","alem paraiba","28","3548.3200000000006"
"PR","matinhos","27","3538.83"
"SP","juquitiba","21","3529.9799999999996"
"SP","serra negra","13","3522.5599999999995"
"SP","jales","28","3478.63"
"RS","cruz alta","30","3471.23"
"SC","curitibanos","20","3469.8"
"SP","garca","27","3468.68"
"SP","macatuba","12","3452.4500000000003"
"RJ","paraiba do sul","18","3452.0800000000004"
"SP","pederneiras","21","3450.0099999999998"
"RJ","guapimirim","21","3446.9900000000002"
"BA","ipira","6","3423.98"
"SC","braco do norte","20","3423.419999999999"
"SP","quata","12","3417.29"
"PR","medianeira","21","3411.72"
"SP","presidente venceslau","22","3410.8699999999994"
"MG","claudio","20","3403.8"
"MG","monte carmelo","23","3403.6699999999996"
"SP","sao manuel","20","3403.6000000000004"
"SP","pedreira","36","3391.29"
"RS","trindade do sul","4","3372.73"
"SP","ibitinga","22","3368.45"
"SP","porto feliz","21","3365.5699999999997"
"RS","venancio aires","26","3352.84"
"BA","brumado","21","3330.52"
"SC","porto uniao","14","3329.4300000000003"
"PR","mandaguacu","4","3325.86"
"SP","barrinha","18","3321.1499999999996"
"RS","tramandai","25","3289.9200000000005"
"SC","garopaba","22","3288.6399999999994"
"SP","monte azul paulista","19","3287.1000000000004"
"ES","marataizes","16","3274.3100000000004"
"ES","alegre","17","3265.0099999999998"
"RJ","paraty","19","3249.8600000000006"
"SC","santo amaro da imperatriz","11","3245.7000000000003"
"SP","mairinque","24","3235.0000000000005"
"BA","ibotirama","7","3233.2"
"MG","almenara","14","3212.33"
"RS","encantado","11","3196.45"
"MG","machado","21","3182.8"
